word,pos,meaning,sentence,sentence_meaning
liquor,n.,烈性酒,He appears to have drunk a lot of liquor,
"whisky, whiskey",n.,威士忌酒,A great deal of whisky is made in Scotland,
brandy,n.,白兰地酒,I drank a miniature bottle of brandy last night,
drunk,adj.,醉的,He was obviously drunk,
tobacco,n.,烟草,A high amount of money is spent on tobacco every year,
cigarette,n.,香烟,A cigarette set the dry grass on fire,
sober,adj./v.,清醒的/（使）醒酒,"He was tipsy yesterday, but now he is sober",
vegetable,n.,蔬菜,Is a tomato a fruit or a vegetable?,
tomato,n.,番茄,His shirt was stained with tomato juice,
potato,n.,土豆,"This salad is made up of apple, pear, potato and celery",
pea,n.,豌豆,This kind of pea has a long pod（荚）,
bean,n.,豆,A bean grows rapidly,
cucumber,n.,黄瓜,I would like a cucumber salad for an appetizer,
cabbage,n.,洋白菜、卷心菜、甘蓝,I'd like to cook dishes with cabbage,
onion,n.,洋葱,I don't like the flavor of onion,
mushroom,n./v.,蘑菇/呈蘑菇状扩散,The smoke mushroomed into the sky,
eggplant,n.,茄子,"We grow many different vegetables, including potatoes, eggplants, etc.",
carrot,n.,胡萝卜,The dish of boiled beef and carrot tastes good,
turnip,n.,萝卜、芜菁,My nephew loves to eat raw turnip,
radish,n.,樱桃萝卜,Please help me pull up the radishes,
fruit,n.,水果,Several baskets of fruit were eaten at the party,
peel,v./n.,剥（水果、蔬菜的）皮/（水果）皮,She throwed the banana peel into the trash can,
strip,v./n.,剥去、除去/条、带,Elephants strip the leaves from trees,
core,n.,果核,He ate the plum and then threw the core away,
hull,n./v.,（果实等的）外壳；船体/剥去（果实的）外壳,"Rice is gathered, cleaned, and hulled before being sold",
cherry,n.,樱桃；樱桃树,"We have different pies, such as apple, cherry and strawberry pies",
berry,n.,浆果,The berry is nutritious and has a sweetish taste,
grape,n.,葡萄,Sour grapes can never make sweet wine,
papaya,n.,番木瓜,I would be happy to share these bananas and papayas with you,
peach,n.,桃子,The peach is a sweet and juicy fruit,
pear,n.,梨,Would you like a pear,
plum,n.,李子、梅子,Could I have some more sugar for my plum juice?,
orange,n.,橙子,Would you peel me an orange?,
melon,n.,瓜、甜瓜,We garnished the melon with strawberries,
lemon,n.,柠檬,I like orange more than lemon,
kiwi,n.,猕猴桃、奇异果,"In Asia, the hardy kiwi grows well inside the shade",
crop,n.,庄稼、收成、产量,We have had the biggest wheat crop ever this year,
corn,n.,[英]谷物；[美]玉米,The corn is nearly ready for harvesting,
grain,n.,谷物、颗粒,We ship grain to Africa,
wheat,n.,小麦,This old man is a leading authority on wheat diseases,
reap,v.,收割、收获,We reap what we sow,
flour,n.,面粉,Bread is chiefly made of flour,
porridge,n.,麦片粥,She spooned out bowls of porridge,
paste,n.,糨糊、面团,We used paste to attach our designs to the poster,
livestock,n.,家畜,He is good at breeding livestock,
chicken,n.,鸡,He has a chicken farm,
turkey,n.,火鸡,People often drink white wine with turkey,
beef,n.,牛肉,Do you like stewed beef?,
pork,n.,猪肉,The little girl only eats lean pork,
mutton,n.,羊肉,People like to have mutton in the winter,
sausage,n.,香肠,She loves sausage and mash,
fish,n./v.,鱼/钓鱼,We caught three little fish,
pond,n.,池塘,The dear lowered its head to drink from the pond,
rod,n.,杆、竿,I bought a new fishing rod last Sunday,
dairy,n./adj.,乳制品、乳品店/乳制的,We bought milk at the dairy,
milk,n./v.,奶/挤奶,I am boiling the milk,
yogurt,n.,酸奶,Do you have any low-fat yogurt?,
cream,n.,奶油,He is whipping cream,
cheese,n.,起司、奶酪,Cheese often upset her stomach,
butter,n./v.,黄油/涂黄油,I'll butter the bread,
salad,n.,色拉,It only takes a minute to make a salad,
sandwich,v./n.,把...夹入/三明治,She was sandwiched between two fat men,
hamburger,n.,汉堡包,I had a hamburger and a fried chicken leg,
loaf,n./v.,一条（面包）/游荡、闲逛,Half a loaf is better than no bread 聊胜于无,
pie,n.,馅饼、派,Would you like another piece of apple pie?,
pizza,n.,披萨饼,I decided to go get a carryout pizza for dinner,
pasta,n.,意大利面食,Do you want chicken or pasta for dinner?,
spaghetti,n.,意大利细面,Spaghetti is one of my favorite foods,
soup,n.,汤,He had spoiled the soup by putting in too much salt,
pudding,n.,布丁,Let the pudding chill for an hour,
biscuit,n.,[英]饼干，[美]烤饼、小圆面包,He had some biscuits before the dinner,
jam,n.,果酱,He spread some apple jam on the bread,
nut,n.,坚果、螺母,He carefully cracked a nut and then gave it to me,
chocolate,n.,巧克力,Never eat chocolate before dinner,
ice cream,n.,冰淇淋,Mother knows how to make ice cream,
vanilla,n./adj.,香草/香草味的,Many children don't like vanilla-flavored ice cream,
mustard,n.,芥末、芥菜,He put some mustard into the dish,
wasabi,n.,山葵、山葵根,sashimi is usually served with soy sauce and wasabi paste,
pepper,n.,胡椒粉、柿子树,The pepper in the food causes me to sneeze,
ginger,n.,姜,The ginger should be crushed up before it is added to the boiling jam,
garlic,n.,蒜,Your breath smelt of garlic,
scallion,n.,大葱,"Kimchi is a well-known Korean side dish（配菜） made from fermented（发酵的） cabbage, radish, scallion or cucumber",
vinegar,n.,醋,Vinegar has a acid taste,
salt,n.,盐,Salt lowers the freezing point of water,
sugar,n.,糖,I bought him a packet of sugar,
candy,n.,糖果,The greedy little boy ate all the candy at the party,
honey,n.,蜂蜜,We can use honey as a substitute for sugar,
"flavor, flavour",n.,味道、口味、特色、风格,You may choose anyone from the six popular flavors,
sour,adj.,酸的,Most green fruits are sour,
sweet,adj.,甜的、愉快的,The dish tastes a bit sweet,
bitter,adj.,苦的；痛苦的；严寒的,The medicine has a bitter taste,
spicy,adj.,辣的,Which province is famous for its hot and spicy cuisine?,
delicious,adj.,美味的,She can make a delicious meal from very simple ingredients,
yummy,adj.,美味的,This cake is really yummy,
tasty,adj.,美味的,"I always get a double espresso, but their normal coffee is tasty too",
hunger,n.,饥饿、渴望,His hunger was soon appeased 平息、和缓,
thirsty,n.,渴的、渴望的,He was thirsty for power,
spice,n.,香料、给生活添加情趣的事,Variety is the spice of life,
sauce,n.,酱汁,"Waiter, may I have some steak sauce, please?",
ketchup,n.,番茄酱,I want to put some ketchup on the hamburger,
perfume,n.,香味、芳香；香水,The smell of her perfume lingered in the empty house,
ingredient,n.,成分；（烹调的）原料、因素,Chilli (红辣椒) is a crucial ingredient in Sichuan cuisine,
supplement,n./v.,营养补给、补贴/增补、补充,John had to get a job to supplement the family income,
digest,v.,消化、理解、领悟,Mary can't digest fat,
cook,v./n.,烹调、烧、煮/厨师,Will she cook dinner this evening?,
bake,v.,烘烤、烤熟,The bread is baking in the oven,
fry,v.,油煎,The eggs are frying in the pan,
roast,v./n.,烤/烤肉,Let's have a nice roast for Sunday dinner,
toast,v./n.,向...祝酒；为...干杯；烤/烤面包片,We toasted the bride and bridegroom,
suck,v.,吮吸,Don't suck your thumb. It's so dirty,
swallow,v.,咽下、吞下,A boa swollowed its prey whole,
lick,v.,舔,He licked his fingers,
chew,v.,咀嚼,You must chew your food well before you swallow it,
gum,n.,口香糖、树胶,Would you like some sugarless gum?,
soak,v.,浸泡、使湿透,I have soaked the beans for eight hours,
dip,v.,蘸、浸,She dipped her hand in the sea to find out how cold it was,
squeeze,v.,挤压,He squeezed an orange to get the juice out,
stir,v.,搅动,The oatmeal will become lumpy if you don't stir it well,
grind,v./n.,碾碎/枯燥乏味的事情,The mill of god grinds slowly but it grinds exceedingly well,
slice,v./n.,切成薄片、切、划/薄片,I sliced the bread,
medium,n./adj.,媒介；中间的；中等的,The president's speech was broadcast through the medium of television,
press,n.,新闻界；记者；报刊；出版社,The power of the press is very great,
journalist,n.,记者；新闻工作者,No journalist was bold enough to challenge the prime minister,
critic,n.,批评家；挑剔的人,The critic said the new movie would not do well at the box office,
commentator,n.,评论员；实况解说员,I enjoy the sport's commentator's commentaries very much,
exponent,n.,阐述者；倡导者；拥护者,He is an exponent of the opinions of Einstein,
announcer,n.,广播员；播音员,The announcer started with the day's top stories,
correspondent,n.,通信者；通讯员；记者,That war correspondent proudly outgunned the army sharp shooters,
messenger,n.,邮递员；信使,The messenger brought you a note today,
editor,n.,编辑；校订者,She gave the editor a dishonest account of this event,
typist,n.,打字员,The two typists have already worked all day,
handout,n.,传单；讲义,Please read the handout carefully,
leaflet,n./v.,传单；散发传单,We were paid to leaflet advertisements in the shopping mall,
propaganda,n.,宣传；鼓吹,This report clearly contains elements of propaganda,
publish,v.,公布；出版；发行,News of the pop star's sudden death was not published for several days,
disseminate,v.,散布；传播,The agency would collect and disseminate information,
foresee,v.,预见；预知,They can not foresee how things will turn out,
anticipate,v.,预期；预料,Sales are better than they have anticipated,
expect,v.,预料；期待,The managers expect exceptional sales growth in the last quarter,
await,v.,等候；期待；将降临到...身上,"If you are lucky enough to vacation in the Alps, what delights will await you!",
pastime,n.,娱乐；消遣,Listening to music is the favorite pastime of many people all over the world,
entertain,v.,娱乐；招待；心存；怀有,This television program is designed to educate and to entertain as well,
recreation,n.,休闲；娱乐,She is in charge of recreation,
amuse,v.,逗乐；给...提供娱乐,Harry makes up funny stories to amuse his little brother,
gossip,n.,闲聊；流言蜚语,I've read about it in the gossip column,
"rumour, rumor",n.,谣言；传闻,The rumor soon swept the entire company,
consensus,n.,共识；一致的意见,Could we reach a consensus on this issue? Let's take a vote,
festival,n.,节日,"This music festival will feature fireworks, live music, and barbecue",
feast,n.,盛宴；（宗教）节日,The feast was served by his mother and sisters,
"programme, program",n./v.,节目；方案；程序；为系统设置程序；计划,There was an interesting program on TV yesterday,
rehearsal,n.,排练,The play is in rehearsal now,
perform,v.,表演；演出,A jazz band will perform live at tommorrow's party,
imitate,v.,模仿；效仿,He imitates other people to perfection,
mimic,v.,模仿；戏仿,He mimicked the teacher's accent,
simulate,v.,模拟；假装；冒充,We can use computers to simulate many situations,
circus,n.,马戏团；圆形广场（常用于地名）,"Last Christmas, the circus owner decided to take some presents to a children's hostipal",
magic,n.,魔术；魔法,The magician thrilled his audience with his magic,
drama,n.,戏；剧；戏剧艺术,My brother was studying a course in drama at university,
concert,n.,音乐会,Various performers will present a concert to raise money for AIDS charities,
symphony,n.,交响乐,The Royal Stockholm Philharmonic Orchestra played Beethoven's Ninth Symphony,
orchestra,n.,管弦乐队,This orchestra has been established under the patronage of the government,
ballet,n.,芭蕾舞；芭蕾舞剧,I wanted to be a ballet dancer when I was a child,
opera,n.,歌剧,She joined the Royal Opera House the following year,
comedy,n.,喜剧,Dwayne Johnson talked about his experiences of starring in comedies,
tragedy,n.,悲剧；悲惨的事,She was too exhausted and distressed to talk about the tragedy,
animation,n.,动画片；动画制作,It is this cartoon that brought the animation industry back from the dead,
film,n.,影片；胶卷,A good film will be on this weekend,
movie,n.,电影,This movie was hyped up in the media before it was screened,
X-rated,adj.,X级的；青少年不宜的,"When Logan was showed in cinema, it was X-rated",
artist,n.,艺术家,He was not the kind of artist who could work collaboratively,
craftsman,n.,工匠；工艺师,The original designes were made by highly skilled craftsmen,
painter,n.,画家；油漆匠,This painter is not first class,
role,n.,角色,I played the role of the mean aunt in the play,
scene,n.,景色；现场；（戏剧的）场面,The scene is perfect when you see the sun rising slowly in the east,
stage,n.,舞台；阶段,Each stage of the battle was carried off flawlessly,
gallery,n.,美术馆,The pictures in the gallery were well spaced out,
exhibition,n.,展览,They are coming to the exhibition as my guests,
"aesthetic, esthetic",adj./n.,审美的；审美观,His aesthetic standards are quite different from mine,
collect,v.,收集；收藏,"He used to collect stamps, but now he likes to collect coins",
select,v./adj.,选择；挑选；精选的,They were selected from many applicants,
opt,v.,选择,My aunt opted for early retirement,
photograph,n.,照片；相片,His photograph showed how the plant turned out,
portrait,n.,肖像；半身画像,Her portrait hangs in the lobby of the library,
painting,n.,油画；会话；画作；涂漆,This painting is invaluable,
sculpture,n.,雕塑,The smooth contour of the sculpture is wonderful,
draw,v.,画；拉；拔出,Draw a line with the ruler,
sketch,n./v.,素描；草图；速写；画素描；画速写,I sketched the cat sleeping in the yard,
depict,v.,描述；描写；描绘,"In this new biography, she is depicted as a lonely and unhappy woman",
describe,v.,描述；形容,Words can not describe the beauty of the scene,
carve,v.,雕刻；切下,The statue was carved out of mable,
improvise,v.,临时做；即兴创作,"If an actor forgets his lines on the stage, he has to improvise",
musical,adj.,音乐的；悦耳的,The drum is one of the oldest musical instruments,
classical,adj.,古典的；传统的,Beethoven is regarded as one of the immortals of classical music,
jazz,n.,爵士乐,He is well versed in many styles of jazz,
rock,n.,摇滚乐；岩石,Glam rock developed in the early 1970s and David Bowie was one of the most influential glam rock artists,
hip-hop,n.,嘻哈文化,Hip-hop singers like to wear bling bling in their music videos to look fancy,
pop,n.,流行音乐；流行乐曲,The radio has fed him a stream of pop songs,
lyric,n./adj.,抒情诗；抒情的,"I don't understand the lyrics, which are in French, but the song sounds peaceful",
band,n.,乐队；带；波段,The band will play on request,
solo,n./adj.,独奏；独唱；独奏的；独唱的,She has acquired a reputation as this country's premier solo voilinist,
melody,n.,乐曲；旋律,"I like that song, because its melody is really pleasant",
rhythm,n.,节奏；韵律,I can't dance to music without a good rhythm,
tone,n.,音色；声调；腔调,This violin has a very good tone,
tune,n./v.,曲调；短乐曲；调试,The violin seems to be out of tune,
"disc, disk",n.,光碟；唱片；磁盘,There is no disc that interests me,
piano,n.,钢琴,He started to learn the piano when he was very young,
violin,n.,小提琴,The violin is not quite in tune with the piano,
cello,n.,大提琴,She plays the cello in an orchestra,
guitar,n.,吉他,"She strummed her guitar, singing her own song",
harmonica,n.,口琴,He played a tune on his harmonica,
trumpet,n.,喇叭；小号,His performance as a trumpet player was quite revolutionary,
drum,n.,鼓；鼓状物；大桶,The drum beats were steady and slow,
flute,n.,长笛,The long drawn out sound of a flute is coming from far to near,
competition,n.,竞争；比赛,"There is a rise in unemployment, so the competition for jobs is very fierce",
tournament,n.,锦标赛；联赛,He has 65 tournament wins to his name,
Olympic,adj./n.,奥林匹克运动会,"The most important part of the Olympics is to participate, rather than to win",
sponsor,n./v.,发起人；主办人；赞助人。发起；主办；赞助,The company has sponsored the football match,
patron,n.,赞助人；顾客；老主顾,A wealthy patron has promised to send him to study overseas,
athlete,n.,运动员,The boy first showed promise as an athlete in primary school,
champion,n./v.,冠军；第一名；拥护；支持,"As the defending champion, she is expected to reach the final",
spectator,n.,观众,"The match attracted over 40, 000 spectators",
volunteer,n./v.,志愿者；自愿做,Many people volunteer to work on the farms,
famous,adj.,著名的；出名的,Weathering Heights in one of the most famous novels in the world,
well-known,adj.,众所周知的；出名的,The writer is well-known for his prolific works,
energetic,adj.,充满活力的；精力充沛的,He is an energetic basketball player,
vigorous,adj.,充满活力的；活跃的；积极的,Our attack was very vigorous and the enemy retreated back to the riverbank,
stadium,n.,体育场；运动场,"The stadium has been fitted with seating for 100, 000 spectators",
gym,n.,体育馆；运动场,Both able-bodied and disabled people can use this gym,
training,n.,训练；锻炼；培训,Training a prerequisite for competence,
exercise,n./v.,锻炼；运动；习题；练习。锻炼,Swimming is probably the best form of exercise you can get,
indoor,adj.,室内的,Billiards is a good indoor game,
outdoor,adj.,户外的；室外的,"If you enjoy outdoor activities, this is the trip for you",
motion,v.,做动作；示意,She motioned for us to hide ourselves,
mobile,adj.,可移动的；流动的,The mobile phone business actually was the company's bread and butter,
movement,n.,活动；运动；移动,Her every movement is very graceful,
yoga,n.,瑜伽,Some people practice yoga to aid relaxation,
sprawl,n./v.,延伸；蔓延。（城市）杂乱无序扩张的地区,He sprawled on the sofa,
stretch,v.,延伸；伸长,"He stretched out his hand, reaching for a book",
strain,v./n.,拉紧；拉伤；扭伤。张力；拉力；（精神上）紧张,I strained my back when I lifted the box,
chess,n.,国际象棋,Games like chess are intellectual pursuits,
badminton,n.,羽毛球,Badminton can be played by two or four people,
golf,n.,高尔夫球,Hundreds of private golf clubs took part in a recent study,
billiards,n.,台球,He spent a whole afternoon playing billiards,
soccer,n.,（英式）足球,"In soccer, only the goalkeeper can play the ball with his hands",
tennis,n.,网球,He is a professional tennis player,
volleyball,n.,排球,They are watching a live TV broadcast of the volleyball match,
hockey,n.,曲棍球；冰球,She played hockey for the national team,
cricket,n.,板球,The cricket match was washed out my rain,
goal,n.,球门；进球得分；目的,The home side rubbed in their superiority with a further goal,
bat,n.,球拍；球棒；球板,I want to buy a new cricket bat,
racket,n.,（网球、羽毛球）球拍,Can I borrow your tennis racket?,
kick,n./v.,踢,Don't kick the ball into the road,
knock,v.,敲；击；撞,I was so hurried that I knocked into my teacher,
flip,v./n.,掷；快速翻转。随便的；宽泛的,Let's flip a coin to see who goes first,
pitch,v./n.,投；掷；球场；（棒球中的）投球,She pitched the ball as far as she could,
throw,v.,投；掷；抛；扔,Throw the stone in the air,
toss,v.,扔；抛；掷；（使）颠簸,The canoe was tossed about among the eddies,
slide,v./n.,滑动；逐渐降低；滑行；下跌,House values may begin to slide,
slip,v./n.,滑跤；滑落；溜；滑到,She slipped and fell down the stairs,
glide,v./n.,滑动；掠过；滑行,The beautiful swan glides gracefully on the pond,
tumble,v.,摔倒；滚下,"She tumbled on the slick, damp ground",
ski,v./n.,滑雪；滑雪板,The students often go skiing during winter vacations,
skate,v.,滑冰,What fun it is to throw snowballs and to skate on the ice,
cycling,n.,骑自行车运动,He likes cycling very much and wants to a bicycle,
dive,v.,跳水；潜水；俯冲,Diving is a part of this expedition,
drift,v.,飘逸；漂流；流浪；漂泊,The dead body drifted ashore on the beach,
jump,v.,跳；暴涨；跳过,He jumped when he heard the news,
leap,v./n.,跳；跃；跳跃,The thief leaped over the wall and ran away,
plunge,v./n.,纵身投入；猛跌；（使）投身。跳水；猛跌,He plunged into the water to save the child,
spring,v./n.,跳；跃,"The cat crouched, ready to spring",
hop,v.,跳上/下；单脚跳行；齐足跳行,The robber hopped into his car and rushed off,
bounce,v.,（使）反弹/弹起/跳动,The ball hit the wall and bounced off it,
tent,n.,帐篷,He drew back the tent flap and strode out into the blizzard 他拉开帐篷门帘，大步走进暴风雪中,
camp,n.,营地；阵营,"At dusk, we pitched camp in the middle of nowhere",
picnic,n./v.,野餐；野餐食物,Let's eat our picnic by the waterfall,
hunt,v./n.,打猎；搜寻；猎取,Parent birds begin to hunt for food for their young,
race,n.,赛跑；速度竞赛；人种；种族,The horse is racing against five others,
marathon,n.,马拉松,Gallard completed the marathon in less than 3 hours,
pedestrian,n.,步行者；行人,In the accident a pedestrian and a cyclist were injured,
pace,n./v.,步速；速度；步调；节奏；来回踱步,Our wage's keeping pace with inflation,
step,n.,步伐；步骤,One thing you can do is trying to solve it step by step,
excursion,n.,远足；短程旅行,We went on an excursion to that town,
cruise,v.,乘船游览；以平稳的速度行驶,The car was cruising along at 60 kilometers an hour,
trip,v./n.,绊倒；旅行,The trip was expensive and uncomfortable,
vacation,v./n.,休假；假期,I was too busy to spare time for a vacation,
hike,n./v.,徒步旅行；远足,"It may rain, in which case the hike will be cancelled",
jog,v.,慢跑,The old bus jogs steadily down the road,
stride,v.,大步走；阔步行走,They are strading forward both in English and in Mathematics,
wander,v.,闲逛；漫步；走神；开小差,It is fun to wander the world,
linger,v.,逗留；流连；继续存留,We linger at the beach the whole summer,
lag,v./n.,落后；间隔；时间差,Let not a single classmate lag behind,
climb,v.,攀登；爬,It is not easy to climb a steep mountain,
pull,v.,拉；拖；扯；划（小船）,They pulled the boat towards the light house,
drag,v.,拖；拉；拽,Use your mouse to drag the pictures into that folder,
bend,v.,俯身；弯腰；使弯曲,He bent his walking direction toward me,
bow,v./n.,鞠躬,"He can't agree with her, but bowed to her greater experience and knowledge",
fashion,n./v.,时尚；制作；制成,Loose trousers are the latest fashion,
style,n.,风格；样式；时尚,The style of this skirt is just in season,
trend,n.,趋势；倾向,The youth like to follow the latest trend in fashion,
tendency,n.,趋势；倾向；偏好,There is a growing tendency for people to work at home instead of in offices,
current,n./adj.,潮流；趋势；当前的,Newspapers influenced the current of thought,
popularity,n.,流行,That record made the singer's popularity boom 那张唱片捧红了这位歌手,
vogue,n.,流行,Long hair for men and high boots for ladies are no longer in vogue,
prevail,v.,盛行；获胜,Truth will ultimately prevail,
model,n./v.,模型；模特/使模仿,"After a brief spell as a model, she got into singing",
icon,n.,偶像；图标,That singer is one of the pop culture icons of 1980s,
idol,n.,偶像；受到崇拜的人或物；神像,That football player is the idol of many young people,
luxury,n.,奢侈；奢侈品,The increasing sales of luxuries are an indication of the country's prosperity,
extravagant,adj.,奢侈的；过分的,She's very extravagant. She spends all her money on clothes,
"jewelry, jewellery",n.,珠宝；手势,The piece of jewelry is priceless,
jewel,n.,宝石,That jewel has a beautiful shimmer,
gem,n.,宝石；珍品,This picture is the gem of the collection,
jade,n.,玉石；翡翠,I have a pair of jade bracelets,
adorn,v.,装饰；装扮,She likes to adorn herself with jewels,
ornament,n./v.,装饰品；装饰,Clearness ornaments profound thought 清晰性能为深刻的思想增辉,
embellish,v.,修饰,The door of the old church was embellished with intricate carvings,
embroider,v.,对（故事等）加以渲染；在...上刺绣,Her shirt is embroidered with roses,
hairdressing,n.,美发；理发,She has spent much money and time on hairdressing,
pigment,n.,色素；颜料,This pigment is a good and common food additive,
dye,n.,染料；（染上的）颜色；染,My roommate has dyed her hair red. It looks so unnatural,
masquerade,n./v.,化装舞会；化妆；假扮,She masqueraded as a shepherdess,
veil,n.,面纱；遮蔽物,The bride's face was covered with a white veil,
costume,n.,戏服；（某历史时期或某地的）服装,Her national costume showed which country she came from,
fascinate,v.,迷住,This city fascinates him,
decent,adj.,得体的；尚好的,He made a decent record 他成绩善佳,
exquisite,adj.,精致的；雅致的,He has exquisite taste and decent manners,
grace,n.,优美；优雅,She was a beautiful girl with the grace and poise of a natural model 她是一个美丽的女孩，天生有着模特的那种优雅仪态,
elegance,n.,文雅；典雅,He is admired for the elegance of this writing,
perfect,adj.,完美的,"No one expect you to be perfect, but we do expect you to do your best always",
appearance,n.,外貌；出现,Don't judge by appearances,
cosmetics,n.,化妆品,We have many types of cosmetics for sale,
make-up,n.,化妆品；组成成分；性格,I cannot tell who's who when the women take off their their make-up,
handsome,adj.,数量大的；英俊的,The waitress received a handsome tip,
charming,adj.,迷人的,Her colorful character makes her very charming,
pretty,adj./adv.,漂亮的；相当地,All the pretty mowen wore their smartest dresses,
beautiful,adj.,美丽的,Looking at a beautiful painting always gives one satisfaction,
ugly,adj.,丑陋的,You can't persuade me to buy this ugly vase,
dress,n.,衣服；连衣裙,She wears a beautiful evening dress,
clothe,v.,给...穿衣；为...提供衣服,He had to work hard to feed and clothe the large family,
uniform,n./adj.,制服；一致的,Do you have to wear uniform if you work at McDonald's?,
garment,n.,（一件）衣服,This garment should be washed carefully,
laundry,n.,洗衣店；要（或正在）洗的衣服；刚洗好的衣服,There's a lot of laundry in the basket,
wardrobe,n.,衣柜；（某人的）全部服装,Can you hang this in the wardrobe please?,
overall,n./adj.,（英）（工作时穿的）罩衣；全面的,The shop assistant was wearing a white overall,
overcoat,n.,大衣,He turned his overcoat collar up,
robe,n.,长袍；浴袍,She was simply dressed in a plain white robe,
gown,n.,长外衣；女礼服,She put on her silk gown and went to the ball,
sweater,n.,毛衣；线衣,This woolen sweater may keep you warm in winter,
jacket,n.,夹克衫,He wore a pair of dark glasses and a jacket all day long,
skirt,n.,裙子,How many skirts do you have?,
jeans,n.,牛仔裤,"Jeans are made of jean, dynim or other durable fabrics",
trousers,n.,（尤英）裤子,This pair of trousers is too tight for me,
clasp,n./v.,搭扣；扣住,The button won't clasp 纽扣扣不上,
button,n./v.,纽扣；按钮；扣上...的纽扣,One of the buttons has come off my coat,
glove,n.,手套,It's getting cold and I have to take out my woolen gloves,
hat,n.,（常指带帽檐的）帽子,She bought a hat yesterday,
cap,n.,（有帽舌的）帽子；（经费等的）最高限额,The cap goes well with your suit,
brim,n.,边缘；帽檐,He drank at the fountain's brim,
scarf,n.,围巾；头巾,The price of this scarf is below ten dollars,
handkerchief,n.,手帕,He was playing with his handkerchief all the while during his speech,
purse,n.,（英）钱包；（美）小手提包,The lost of her purse caused her much inconvenience,
wallet,n.,钱包；皮夹子,She placed the receipt in her wallet,
vest,n.,英-汗衫；美-西装背心,One button on the vest is loose,
wrap,n.,披肩,Over her shoulders was a much-mended wrap 她的肩上搭着一条被多次缝补的披肩,
cloak,n.,斗篷；覆盖物,She picked up the old brown cloak and handed it to him,
